STUDENTNAAM,GESLACHT,GEBOORTEDATUM,KLASCODE,VAKCODE,DOCENTNAAM,PROEFWERKDATUM,CIJFER
Student4,M,2005-01-25 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"3,6"
Student16,M,2006-07-28 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"3,6"
Student19,M,2005-09-18 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"3,9"
Student25,M,2005-02-26 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"4,2"
Student2,M,2005-04-16 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"4,2"
Student11,M,2006-07-19 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"4,3"
Student11,M,2006-07-19 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"4,4"
Student17,M,2006-07-24 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"5,2"
Student7,M,2005-07-03 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"5,4"
Student8,M,2006-01-19 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"5,4"
Student2,M,2005-04-16 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"5,5"
Student22,M,2005-11-18 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"5,5"
Student17,M,2006-07-24 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"5,9"
Student16,M,2006-07-28 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"5,9"
Student25,M,2005-02-26 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"6,0"
Student16,M,2006-07-28 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"6,3"
Student7,M,2005-07-03 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"6,8"
Student19,M,2005-09-18 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"6,9"
Student17,M,2006-07-24 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"6,9"
Student22,M,2005-11-18 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"7,1"
Student8,M,2006-01-19 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"7,1"
Student7,M,2005-07-03 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"7,2"
Student21,M,2005-11-12 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"7,4"
Student4,M,2005-01-25 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"7,5"
Student1,M,2006-06-06 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"7,8"
Student4,M,2005-01-25 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"8,1"
Student22,M,2005-11-18 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"8,5"
Student2,M,2005-04-16 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"8,7"
Student21,M,2005-11-12 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"8,7"
Student1,M,2006-06-06 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"8,9"
Student25,M,2005-02-26 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"9,1"
Student1,M,2006-06-06 00:00:00,HV1,AAK,Docent 5,2023-10-20 00:00:00,"9,1"
Student19,M,2005-09-18 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"9,2"
Student8,M,2006-01-19 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"9,3"
Student11,M,2006-07-19 00:00:00,HV1,AAK,Docent 10,2024-02-19 00:00:00,"9,3"
